Species	Temp	BodyWeight	g	Diet
Acartia	16	1.87	0.36	O
Acartia	20.8	1.77	0.57	O
Acartia	22.4	1.43	0.35	O
Acartia	24	1.24	0.41	O
Acartia	17	1.53	0.27	O
Acartia	18.3	1.63	0.19	O
Acartia	14	2.16	0.18	O
Acartia	18	2.21	0.25	O
Acartia	18.5	2.61	0.1	O
Acartia	21	1.82	0.3	O
Acartia	23	1.84	0.29	O
Acartia	23	1.5	0.24	O
Acartia	18.1	1.21	0.35	O
Acartia	18.5	1.48	0.22	O
Acartia	12.7	1.88	0.14	O
Acartia	22	2.67	0.12	O
Acartia	18	2.67	0.36	O
Acartia	17	3.06	0.023	O
Acartia	17	2.83	0.029	O
Acartia	7	2.67	0.62	O
Acartia	7	2.67	0.297	O
Acartia	7	2.67	0.566	O
Acartia	7	2.67	0.485	O
Acartia	7	2.67	0.27	O
Acartia	7	2.67	0.404	O
Acartia	7	2.67	0.485	O
Acartia	7	2.67	0.647	O
Acartia	7	2.67	0.553	O
Acartia	7	2.67	0.553	O
Acartia	4	2.67	0.027	O
Acartia	5	2.67	0.027	O
Acartia	5	2.67	0.014	O
Acartia	5	2.67	0.067	O
Acartia	5	2.67	0.121	O
Acartia	7	2.67	0.135	O
Acartia	7	2.67	0.121	O
Acartia	7	2.67	0.135	O
Acartia	5	2.67	0.148	O
Acartia	7	2.67	0.148	O
Acartia	7	2.67	0.175	O
Acartia	7	2.67	0.202	O
Acartia	5	2.67	0.216	O
Acartia	7	2.67	0.216	O
Acartia	7	2.67	0.256	O
Acartia	7	2.67	0.27	O
Acartia	5	2.67	0.283	O
Acartia	7	2.67	0.3	O
Acartia	7	2.67	0.31	O
Acartia	7	2.67	0.283	O
Acartia	7	2.67	0.27	O
Acartia	7	2.67	0.27	O
Acartia	7	2.67	0.04	O
Acartia	12	2.67	0.067	O
Acartia	16	2.67	0.067	O
Acartia	16	2.67	0.04	O
Acartia	16	2.67	0.067	O
Acartia	18	2.67	0.027	O
Acartia	18	2.67	0.067	O
Acartia	17	2.67	0.027	O
Acartia	17	2.67	0.04	O
Acartia	17	2.67	0.067	O
Acartia	17	2.67	0.081	O
Acartia	17	2.67	0.121	O
Acartia	17	2.67	0.135	O
Acartia	17	2.67	0.148	O
Acartia	17	2.67	0.229	O
Acartia	15	2.67	0.216	O
Acartia	15	2.67	0.094	O
Acartia	15	2.67	0.121	O
Acartia	17	2.67	0.162	O
Acartia	17	2.67	0.162	O
Acartia	15	2.67	0.148	O
Acartia	15	2.67	0.135	O
Acartia	17.7	2.67	0.23	O
Acartia	20.3	2.67	0.22	O
Acartia	17.1	2.67	om	O
Acartia	11.5	3.9	0.009	O
Acartia	11.5	3.9	0.002	O
Acartia	11.5	3.9	0.006	O
Acartia	11.5	3.9	0.008	O
Acartia	11.5	3.9	0.001	O
Acartia	11.5	3.9	0.001	O
Acartia	11.5	3.9	0.006	O
Acartia	11.5	3.9	0.004	O
Acartia	11.5	3.9	0.024	O
Acartia	11.5	3.9	0.015	O
Acartia	11.5	3.9	0.01	O
