Temp	BodyWeight	Growth
18.5	5.28	0.008
18.5	13.16	0.065
18.5	11.72	0.016
18.5	12.28	0.021
18.5	17.28	0.049
18.5	18.6	0.005
18.5	27.4	0.006
18.5	8.1	0.003
18.5	8.56	0.015
18.5	8.24	0.036
22.2	33.9	0.048
22.2	41.6	0.032
2	446.7	0.04
7.4	221.1	0.007
2	126.8	0.009
7.4	139.3	0.022
1.8	377	0.01
1.8	495.3	0.01
1.8	648.8	0.008
2	162.5	0.02
2	244.9	0.04
2	37.6	0.024
2	428.6	0.011
2	470.6	0.003
2	526.2	0.004
2	650.2	0.005
2	75.2	0.026
4.9	218.2	0.02
4.9	308.5	0.011
6.9	175	0.02
6.9	20.8	0.047
6.9	37.6	0.088
6.9	82.8	0.107
7.4	55.7	0.057
8.3	192.8	0.028
8.3	22.3	0.058
8.3	230.4	0.054
8.3	267.2	0.025
8.3	34.6	0.075
8.3	45.9	0.063
8.3	47.1	0.013
8.3	87.6	0.153
8.3	100.1	0.023
8.6	109.7	0.017
8.6	195	0.134
8.6	49.8	0.07
8.6	88.1	0.032
9.2	196.1	0.057
9.2	34.6	0.09
9.2	58.4	0.085
9.5	164.7	0.032
9.5	196.4	0.01
9.5	94.1	0.055
16	27.8	0.079
21	13	0.123
21	36.8	0.135
26	33.5	0.118
21	13.25	0.25
21	156.7	0.083
21	238.42	0.044
21	31.97	0.25
21	4.53	0.25
21	59.27	0.25
21	97.88	0.25
26	0.98	0.35
26	13.25	0.35
26	156.7	0.074
26	238.42	0.007
26	31.97	0.35
26	4.53	0.35
26	59.27	0.35
26	97.88	0.35
31	0.98	0.41
31	13.25	0.41
31	156.7	0.041
31	31.97	0.41
31	4.53	0.41
31	59.27	0.41
31	97.88	0.11
16	70	0.036
21	92	0.039
26	74.4	0.052
4.9	127.7	0.024
9.2	114.2	0.093
21	0.98	0.25
26	38.1	0.002
22.2	25.1	0.051
NA	0.98	0.13488
NA	4.53	0.13488
NA	13.3	0.13488
NA	32	0.13488
NA	59.3	0.13488
NA	97.9	0.13488
NA	157	0.04488
NA	238	0.023712
NA	0.98	0.1128
NA	4.53	0.1128
NA	13.3	0.1128
NA	32	0.1128
NA	59.3	0.1128
NA	97.9	0.1128
NA	157	0.023856
NA	238	0.002256
NA	0.98	0.07896
NA	4.53	0.07896
NA	13.3	0.07896
NA	32	0.07896
NA	59.3	0.07896
NA	97.9	0.021192
NA	157	0.007896
NA	27.8	0.07128
NA	13	0.06624
NA	36.8	0.07272
NA	38.1	0.0006456
NA	33.5	0.03792
