Event;Taxa;GROUP;URL ref;Biom C/ind [µg/#];µ C per/ind [mg/#/h];µ C per C biom [mg/mg/h];Reference;URL source;g_C_d;g_C_ind
A_quadrilineata_GROWTHEXP;Amphorides quadrilineata;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=235769;0.00313;2.67E-08;0.00854;Jakobsen et al., 2001;doi:10.1594/PANGAEA.834454;6.41E-10;3.13E-09
Ciliates_Dinoflagellates_GROWTHEXP;Favella sp;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=581996;0.0211;9.30E-07;0.044;Strom & Morello, 1998;doi:10.1594/PANGAEA.834582;2.23E-08;2.11E-08
Ciliates_Dinoflagellates_GROWTHEXP;Strombidinopsis acuminatum;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101350;0.0348;1.37E-06;0.0394;Strom & Morello, 1998;doi:10.1594/PANGAEA.834582;3.29E-08;3.48E-08
Ciliates_Dinoflagellates_GROWTHEXP;Uronema sp.;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=494309;0.000735;3.80E-08;0.0517;Strom & Morello, 1998;doi:10.1594/PANGAEA.834582;9.12E-10;7.35E-10
Ciliates_GROWTHEXP-1;Strombidium capitatum;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101282;0.00872;3.52E-07;0.0404;Gismervik, 2005;doi:10.1594/PANGAEA.834392;8.45E-09;8.72E-09
Ciliates_GROWTHEXP-1;Strombidium siculum;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=428815;0.00428;9.27E-08;0.0217;Gismervik, 2005;doi:10.1594/PANGAEA.834392;2.22E-09;4.28E-09
Ciliates_GROWTHEXP-1;Strombidium acutum;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101275;0.00429;1.45E-07;0.0338;Gismervik, 2005;doi:10.1594/PANGAEA.834392;3.48E-09;4.29E-09
Ciliates_GROWTHEXP-1;Sytrombidium conicum;Ciliate;NA;0.00554;2.12E-07;0.0383;Gismervik, 2005;doi:10.1594/PANGAEA.834392;5.09E-09;5.54E-09
Ciliates_GROWTHEXP-1;Strombidium sp;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101195;0.00426;1.81E-07;0.0425;Gismervik, 2005;doi:10.1594/PANGAEA.834392;4.34E-09;4.26E-09
Ciliates_GROWTHEXP-1;Strombidium vestitum;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101342;0.00143;6.78E-08;0.0475;Gismervik, 2005;doi:10.1594/PANGAEA.834392;1.63E-09;1.43E-09
Ciliates_GROWTHEXP-1;Strombidium neptuni;Ciliate;NA;0.014;9.81E-07;0.07;Gismervik, 2005;doi:10.1594/PANGAEA.834392;2.35E-08;1.40E-08
Ciliates_GROWTHEXP-1;Strombidium veniliae;Ciliate;NA;0.00308;8.59E-08;0.0279;Gismervik, 2005;doi:10.1594/PANGAEA.834392;2.06E-09;3.08E-09
Ciliates_GROWTHEXP-1;Strobilidium lacustris;Ciliate;NA;0.0144;5.74E-07;0.04;Gismervik, 2005;doi:10.1594/PANGAEA.834392;1.38E-08;1.44E-08
Ciliates_GROWTHEXP-1;Lohmaniella oviformis;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101209;0.000725;2.20E-08;0.0304;Gismervik, 2005;doi:10.1594/PANGAEA.834392;5.28E-10;7.25E-10
Ciliates_GROWTHEXP-1;Strobilidium spiralis;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101236;0.00923;5.85E-07;0.0633;Gismervik, 2005;doi:10.1594/PANGAEA.834392;1.40E-08;9.23E-09
Ciliates_GROWTHEXP-1;Strombidinopsis cheshiri;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=427386;0.012;4.49E-07;0.0375;Gismervik, 2005;doi:10.1594/PANGAEA.834392;1.08E-08;1.20E-08
Ciliates_GROWTHEXP-1;Strombidinopsis multiauris;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=595212;0.0222;6.95E-07;0.0313;Gismervik, 2005;doi:10.1594/PANGAEA.834392;1.67E-08;2.22E-08
Ciliates_GROWTHEXP-1;Strombidinopsis sp.;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101198;0.0587;2.25E-06;0.0383;Gismervik, 2005;doi:10.1594/PANGAEA.834392;5.40E-08;5.87E-08
Ciliates_GROWTHEXP-2;Favella sp;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=581996;0.0278;1.17E-06;0.0421;Stoecker et al., 1983;doi:10.1594/PANGAEA.834578;2.81E-08;2.78E-08
