GROUP	BodyWeight	Growth
Ciliate	0.00313	0.00854
Ciliate	0.0211	0.044
Ciliate	0.0348	0.0394
Ciliate	0.000735	0.0517
Ciliate	0.00872	0.0404
Ciliate	0.00428	0.0217
Ciliate	0.00429	0.0338
Ciliate	0.00554	0.0383
Ciliate	0.00426	0.0425
Ciliate	0.00143	0.0475
Ciliate	0.014	0.07
Ciliate	0.00308	0.0279
Ciliate	0.0144	0.04
Ciliate	0.000725	0.0304
Ciliate	0.00923	0.0633
Ciliate	0.012	0.0375
Ciliate	0.0222	0.0313
Ciliate	0.0587	0.0383
Ciliate	0.0278	0.0421
Ciliate	0.00299	0.1
Ciliate	0.00386	0.013
Ciliate	0.000224	0.0872
Ciliate	0.0021	0.0536
Ciliate	0.0294	0.0173
Ciliate	0.0134	0.034
Ciliate	0.00294	0.0198
CIliate	0.021	0.0599
Ciliate	0.000202	0.0439
Ciliate	0.00371	0.0359
Ciliate	0.0056	0.049
Ciliate	0.00091	0.0717
Ciliate	0.000994	0.043
Ciliate	0.00113	0.0375
Ciliate	0.0158	0.0347
Ciliate	0.00966	0.05
