Temp	BodyWeight	Growth
10	327	0.192
10	52	0.056
11	3302	0.158
12.2	747.6	0.314
12.5	24876	0.13
12.6	11955	0.031
12.8	9102	0.149
13.3	8760	0.077
14.2	33384	0.07
15.2	62395	0.07
8.9	273.1	0.052
8.9	63.8	0.139
9.4	53.8	0.048
9.7	646.3	0.209
1	3531	0.159
14.1	65537	0.011
14.7	61796	0.046
15.2	76581	0.132
15.4	53152	-0.069
15.5	35491	0.052
15.8	114882	0.047
16.3	92329	0.029
10.6	339.1	0.118
7.1	6.5	0.115
7.9	11.4	0.105
8.2	14.3	0.051
11.6	1198.2	0.098
11.6	2427.4	0.103
11.6	7431.4	0.056
11.6	10557.6	0.04
11.6	13294.2	0.026
11.6	15309.4	0.015
11.6	4637.2	0.08
11.6	606.7	0.103
9.6	10	0.235
23	11.92	0.413
23	13.45	0.38
23	13.916	0.54
23	20.113	0.675
23	23.742	0.493
23	24.883	0.643
23	3.889	0.371
23	4.335	0.357
23	5.645	0.304
23	6.562	-0.067
23	6.562	0.067
23	7.047	0.303
23	8.612	0.203
23	9.32	0.74
26	2289	0.02
26	231.8	0.13
26	5934	0.02
26	948.1	0.02
26	948.1	0.13
26	173	0.13
27	5232.9	0.046
28	1479.9	0.005
28	197.6	0.11
28	820.7	0.043
27	1446.3	0.096
23	4.655	0.151
23	9.238	0.335
11.5	13.4	0.603
11.5	405.6	0.049
11.5	115.2	0.133
11.5	185.9	0.091
11.5	281.4	0.067
11.5	32.7	0.332
11.5	65.4	0.203
12	222.6	0.079
12	364.6	0.075
12	379.7	0.044
12	652.4	0.037
12	110	0.15
12	169.4	0.122
12	245.5	0.079
12	47.4	0.288
