Species,,GrowthType,SpawningType,Temp,BodyWEight,g,Source
,,,,,,,
Acartiidae:,,,,,,,
,,,,,,,
Acartia,bifilosa,A,B,16,1.87,0.36,54
Acartia,bifilosa,A,B,20.8,1.77,0.57,54
Acartia,bifilosa,A,B,22.4,1.43,0.35,54
Acartia,bifilosa,A,B,24,1.24,0.41,54
Acartia,bifilosa,A,B,17,1.53,0.27,54
Acartia,bifilosa,A,B,18.3,1.63,0.19,54
Acartia,bifilosa,A,B,14,2.16,0.18,54
Acartia,bifilosa,A,B,18,2.21,0.25,54
Acartia,bifilosa,A,B,18.5,2.61,0.1,54
Acartia,bifilosa,A,B,21,1.82,0.3,54
Acartia,bifilosa,A,B,23,1.84,0.29,54
Acartia,bifilosa,A,B,23,1.5,0.24,54
Acartia,bifilosa,A,B,18.1,1.21,0.35,54
Acartia,bifilosa,A,B,18.5,1.48,0.22,54
Acartia,bifilosa,A,B,12.7,1.88,0.14,54
,,,,,,,
Acartia,clausi,A,B,22,2.67,0.12,1
Acartia,clausi,A,B,18,2.67,0.36,1
Acartia,clausi,A,B,17,3.06,0.023,2
Acartia,clausi,A,B,17,2.83,0.029,2
Acartia,clausi,A,B,7,2.67,0.62,3
Acartia,clausi,A,B,7,2.67,0.297,3
Acartia,clausi,A,B,7,2.67,0.566,3
Acartia,clausi,A,B,7,2.67,0.485,3
Acartia,clausi,A,B,7,2.67,0.27,3
Acartia,clausi,A,B,7,2.67,0.404,3
Acartia,clausi,A,B,7,2.67,0.485,3
Acartia,clausi,A,B,7,2.67,0.647,3
Acartia,clausi,A,B,7,2.67,0.553,3
Acartia,clausi,A,B,7,2.67,0.553,3
Acartia,clausi,A,B,4,2.67,0.027,4
Acartia,clausi,A,B,5,2.67,0.027,4
Acartia,clausi,A,B,5,2.67,0.014,4
Acartia,clausi,A,B,5,2.67,0.067,4
Acartia,clausi,A,B,5,2.67,0.121,4
Acartia,clausi,A,B,7,2.67,0.135,4
Acartia,clausi,A,B,7,2.67,0.121,4
Acartia,clausi,A,B,7,2.67,0.135,4
Acartia,clausi,A,B,5,2.67,0.148,4
Acartia,clausi,A,B,7,2.67,0.148,4
Acartia,clausi,A,B,7,2.67,0.175,4
Acartia,clausi,A,B,7,2.67,0.202,4
Acartia,c/ausi,A,B,5,2.67,0.216,4
Acartia,clausi,A,B,7,2.67,0.216,4
Acartia,clausi,A,B,7,2.67,0.256,4
Acartia,clausi,A,B,7,2.67,0.27,4
Acartia,clausi,A,B,5,2.67,0.283,4
Acartia,clausi,A,B,7,2.67,0.3,4
Acartia,clausi,A,B,7,2.67,0.31,4
Acartia,clausi,A,B,7,2.67,0.283,4
Acartia,clausi,A,B,7,2.67,0.27,4
Acartia,clausi,A,B,7,2.67,0.27,4
Acartia,clausi,A,B,7,2.67,0.04,4
Acartia,clausi,A,B,12,2.67,0.067,4
Acartia,clausi,A,B,16,2.67,0.067,4
Acartia,clausi,A,B,16,2.67,0.04,4
Acartia,clausi,A,B,16,2.67,0.067,4
Acartia,clausi,A,B,18,2.67,0.027,4
Acartia,clausi,A,B,18,2.67,0.067,4
Acartia,clausi,A,B,17,2.67,0.027,4
Acartia,clausi,A,B,17,2.67,0.04,4
Acartia,clausi,A,B,17,2.67,0.067,4
Acartia,clausi,A,B,17,2.67,0.081,4
Acartia,clausi,A,B,17,2.67,0.121,4
Acartia,clausi,A,B,17,2.67,0.135,4
Acartia,clausi,A,B,17,2.67,0.148,4
Acartia,clausi,A,B,17,2.67,0.229,4
Acartia,clausi,A,B,15,2.67,0.216,4
Acartia,clausi,A,B,15,2.67,0.094,4
Acartia,clausi,A,B,15,2.67,0.121,4
Acartia,clausi,A,B,17,2.67,0.162,4
Acartia,clausi,A,B,17,2.67,0.162,4
Acartia,clausi,A,B,15,2.67,0.148,4
Acartia,clausi,A,B,15,2.67,0.135,4
Acartia,clausi,A,B,17.7,2.67,0.23,44
Acartia,clausi,A,B,20.3,2.67,0.22,44
Acartia,clausi,A,B,17.1,2.67,om,44
Acartia,clausi,A,B,11.5,3.9,0.009,57
Acartia,clausi,A,B,11.5,3.9,0.002,57
Acartia,clausi,A,B,11.5,3.9,0.006,57
Acartia,clausi,A,B,11.5,3.9,0.008,57
Acartia,clausi,A,B,11.5,3.9,0.001,57
Acartia,clausi,A,B,11.5,3.9,0.001,57
Acartia,clausi,A,B,11.5,3.9,0.006,57
Acartia,clausi,A,B,11.5,3.9,0.004,57
Acartia,clausi,A,B,11.5,3.9,0.024,57
Acartia,clausi,A,B,11.5,3.9,0.015,57
Acartia,clausi,A,B,11.5,3.9,0.01,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0.006,57
Acartia,clausi,A,B,8.5,3.9,0,57
Acartia,clausi,A,B,8.5,3.9,0.002,57
Acartia,clausi,A,B,8.5,3.9,0.003,57
Acartia,clausi,A,B,7.5,3.9,0.004,57
Acartia,clausi,A,B,7.5,3.9,0.002,57
Acartia,clausi,A,B,7.5,3.9,0.002,57
Acartia,clausi,A,B,7.5,3.9,0.003,57
Acartia,clausi,A,B,7.5,3.9,0.004,57
Acartia,clausi,A,B,7.5,3.9,0,57
Acartia,clausi,A,B,7.5,3.9,0.006,57
Acartia,clausi,A,B,7.5,3.9,0.002,57
Acartia,clausi,A,B,7.5,3.9,0.001,57
Acartia,clausi,A,B,6.5,3.9,0.044,57
