GROUP	BodyWeight	Growth
Flagellate	0.00023	0.0246
Flagellate	0.000126	0.0241
Flagellate	0.0226	0.021
Flagellate	3.26E-06	0.113
Flagellate	3.26E-06	0.187
Flagellate	3.26E-06	0.181
Flagellate	3.26E-06	0.175
Flagellate	3.26E-06	0.0996
Flagellate	0.000211	0.0204
Flagellate	0.00288	0.0142
Flagellate	0.13	0.00577
Flagellate	0.00638	0.0263
Flagellate	0.0055	0.0149
Flagellate	1.65E-05	0.149
Flagellate	7.70E-06	0.0311
Flagellate	8.80E-06	0.12
Flagellate	4.40E-06	0.102
Flagellate	4.66E-05	0.126
Flagellate	4.18E-05	0.138
Flagellate	1.44E-05	0.0475
Flagellate	4.40E-06	0.058
Flagellate	1.83E-05	0.0209
Flagellate	0.00041	0.024
Flagellate	0.000117	0.0477
Flagellate	0.00135	0.02
Flagellate	0.00196	0.022
Flagellate	3.25E-05	0.048
Flagellate	0.000819	0.0173
Flagellate	0.0265	0.00861
Flagellate	0.0155	0.0126
Flagellate	0.000546	0.0299
Flagellate	0.00329	0.014
