Event;Taxa;GROUP;URL ref;Biom C/ind [µg/#];µ C per/ind [mg/#/h];µ C per C biom [mg/mg/h];Reference;URL source;g_C_d;g_C_ind
A_americanus_GROWTHEXP;Ammodytes americanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159587;117;0.000446;0.00381;Smigielski et al., 1984;doi:10.1594/PANGAEA.834577;1.07E-05;0.000117
A_americanus_GROWTHEXP;Ammodytes americanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159587;262;0.00109;0.00418;Smigielski et al., 1984;doi:10.1594/PANGAEA.834577;2.62E-05;0.000262
A_americanus_GROWTHEXP;Ammodytes americanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159587;523;0.00236;0.00451;Smigielski et al., 1984;doi:10.1594/PANGAEA.834577;5.66E-05;0.000523
A_americanus_GROWTHEXP;Ammodytes americanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159587;93.2;0.00365;0.0392;Smigielski et al., 1984;doi:10.1594/PANGAEA.834577;8.76E-05;9.32E-05
A_aurita_GROWTHEXP;Aurelia aurita;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=135306;6.1;5.72E-05;0.00938;Olesen et al., 1994;doi:10.1594/PANGAEA.834496;1.37E-06;6.10E-06
A_aurita_GROWTHEXP-1;Aurelia aurita;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=135306;20.5;0.000438;0.0214;Bamstedt et al., 1999;doi:10.1594/PANGAEA.834273;1.05E-05;2.05E-05
A_aurita_GROWTHEXP-2;Aurelia aurita;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=135306;20.5;0.000263;0.0129;Bamstedt et al., 2001;doi:10.1594/PANGAEA.834269;6.31E-06;2.05E-05
A_aurita_GROWTHEXP-2;Aurelia aurita;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=135306;20.5;0.000332;0.0162;Bamstedt et al., 2001;doi:10.1594/PANGAEA.834269;7.97E-06;2.05E-05
A_aurita_GROWTHEXP-2;Aurelia aurita;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=135306;20.5;0.000191;0.00929;Bamstedt et al., 2001;doi:10.1594/PANGAEA.834269;4.58E-06;2.05E-05
A_aurita_GROWTHEXP-2;Aurelia aurita;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=135306;20.5;0.000216;0.0106;Bamstedt et al., 2001;doi:10.1594/PANGAEA.834269;5.18E-06;2.05E-05
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;2.55E-05;0.00418;Widmer, 2005;doi:10.1594/PANGAEA.834604;6.12E-07;6.10E-06
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;1.44E-05;0.00237;Widmer, 2005;doi:10.1594/PANGAEA.834604;3.46E-07;6.10E-06
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;6.13E-05;0.01;Widmer, 2005;doi:10.1594/PANGAEA.834604;1.47E-06;6.10E-06
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;6.04E-05;0.0099;Widmer, 2005;doi:10.1594/PANGAEA.834604;1.45E-06;6.10E-06
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;5.96E-05;0.00977;Widmer, 2005;doi:10.1594/PANGAEA.834604;1.43E-06;6.10E-06
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;4.15E-05;0.0068;Widmer, 2005;doi:10.1594/PANGAEA.834604;9.96E-07;6.10E-06
A_labiata_GROWTHEXP;Aurelia labiata;Jellyfish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=287213;6.1;3.26E-05;0.00534;Widmer, 2005;doi:10.1594/PANGAEA.834604;7.82E-07;6.10E-06
