Temp;BodyWeight;Growth
8;2.8;0.103
8;11.1;0.12
8;33.9;0.046
8;124.3;0.03
8;198.6;0.025
8;417.2;0.02
8;565.9;0.018
8;1469.9;0.013
8;2954.3;0.011
12;2.8;0.089
12;8.8;0.157
12;33.2;0.076
12;136.9;0.047
12;225.3;0.039
12;491.7;0.03
12;675.7;0.027
12;1462.7;0.021
12;2654.5;0.017
11.5;2.54;0.228
11.5;62.54;0.071
11.5;491.14;0.091
11.5;2992.76;0.033
11.5;6772.26;0.006
11.5;9021.82;0.01
11.5;11037.82;0.002
8;251;0.023
8;252;0.021
8;363.7;0.018
8;795.6;0.01
8;438.1;0.01
8;656.3;0.008
8;891.4;0.01
8;734.7;0.008
8;751.4;0.005
0.8;14953;0.0086
0.8;24542;0.0067
0.8;51107;0.0035
0.8;51107;0.0038
0.8;25411;0.0042
0.8;64172;0.027
0.8;21357;0.0064
0.8;36057;0.0049
0.8;47303;0.0047
0.8;60285;0.002
1;88.2;0.054
1;112.6;0.042
1;259.1;0.055
1;297.4;0.011
1;536.3;0.048
1;645.1;0.013
1;785.4;0.014
1;76;0.027
1;100.8;0.022
1;131.5;0.016
1;160.9;0.012
1;316.7;0.017
1;338.1;0.003
2;20166;0.0066
2;18730;0.0092
2;20589;0.0063
3.5;9.5;0.025
5.5;31.3;0.053
8.5;130;0.04
7;339.5;0.023
6;565;0.011
5.5;745.1;0.007
4;908.4;0.006
3;1070.7;0.005
2;1388.4;0.012
3;1641.8;-0.001
2;1683.1;0.002
2;1899.6;0.005
3.5;2816.4;0.02
5.5;4570.3;0.011
8.5;5751.8;0.004
7;6131.2;0.001
6;6179.3;0
5.5;6179.3;0
4;6179.3;0
3;6179.3;0
1;6179.3;0
3;6179.3;0
2;6324.5;0.002
2;7178.6;0.007
3.5;10011.5;0.015
5.5;13279.1;0.003
8.5;14087.1;0
0.5;608;0.0267
1;1011;0.0319
1.5;1739;0.0337
2.5;2883;0.0339
11.8;310.1;0.066
11.8;1591.1;0.041
11.8;4067.4;0.011
11.8;8409.3;0.043
11.8;14262;0.003
11.8;15955.2;0.001
NA;2.8;0.20352
NA;11.1;0.23232
NA;33.9;0.08232
NA;124;0.04944
NA;199;0.04104
NA;417;0.03096
NA;2.78;0.11304
NA;8.83;0.20424
NA;33.2;0.09
NA;137;0.05304
NA;225;0.04368
NA;492;0.03264
NA;251;0.03336
NA;252;0.03192
NA;364;0.02688
NA;796;0.013392
NA;438;0.013392
NA;656;0.008376
NA;891;0.011712
NA;735;0.006696
NA;751;0.005016
NA;20200;0.0252
NA;18700;0.03504
NA;20600;0.024
NA;15200;0.03696
NA;24800;0.02904
NA;36300;0.02784
NA;35900;0.021264
NA;48200;0.020376
NA;26200;0.018216
NA;51600;0.01692
NA;51600;0.014736
NA;64500;0.011712
NA;60800;0.008664
