"Temp	BodyWeight	Growth	Ref"
"13	0.009	0.69	5"
"28	0.024	2.09	18"
"28	0.027	1.83	18"
"28	0.027	2.17	18"
"28	0.043	1.13	18"
"28	0.051	2.30	18"
"28	0.055	2.10	18"
"28	0.113	1.01	18"
"28	0.141	1.33	18"
"28	0.161	1.55	18"
"28	0.187	1.86	18"
"28	0.188	2.15	18"
"28	0.206	1.64	18"
"28	0.226	1.64	18"
"28	0.230	1.74	18"
"28	0.245	1.62	18"
"13	0.080	0.65	5"
"13	0.100	0.64	5"
"13	0.370	0.96	5"
"13	0.470	1.09	5"
"13	0.710	0.77	5"
"13	1.410	0.59	5"
"13	1.890	0.76	5"
"13	2.660	0.57	5"
"13	3.600	1.00	5"
"13	3.770	0.74	5"
"28	0.015	2.13	18"
"28	0.017	1.91	18"
"28	0.020	1.66	18"
"28	0.020	1.68	18"
"28	0.020	3.02	18"
"28	0.025	1.44	18"
"28	0.026	2.08	18"
"28	0.027	1.82	18"
"28	0.027	2.87	18"
"28	0.028	2.64	18"
"28	0.030	1.87	18"
"28	0.030	3.10	18"
"28	0.033	1.40	18"
"28	0.033	2.00	18"
"28	0.033	2.00	18"
"28	0.035	2.12	18"
"28	0.035	2.13	18"
"28	0.035	2.13	18"
"28	0.035	2.76	18"
"28	0.035	2.76	18"
"28	0.036	2.40	18"
"28	0.037	1.20	18"
"28	0.037	1.24	18"
"28	0.037	1.74	18"
"28	0.037	1.83	18"
"28	0.037	2.24	18"
"28	0.037	2.55	18"
"28	0.037	2.86	18"
"28	0.039	1.86	18"
"28	0.039	2.36	18"
"28	0.039	2.36	18"
"28	0.041	2.65	18"
"28	0.046	2.28	18"
"28	0.047	1.74	18"
"28	0.047	2.20	18"
"28	0.050	1.85	18"
"28	0.052	1.08	18"
"28	0.053	1.52	18"
"28	0.068	2.17	18"
"28	0.069	2.35	18"
"28	0.077	2.19	18"
"28	0.078	1.18	18"
"28	0.078	1.37	18"
"28	0.088	2.73	18"
"28	0.102	3.11	18"
"28	0.109	3.24	18"
"28	0.111	2.81	18"
"28	0.134	3.07	18"
"28	0.137	3.26	18"
"28	0.140	3.31	18"
"28	0.142	1.71	18"
"28	0.142	2.21	18"
"28	0.147	2.44	18"
"28	0.170	2.59	18"
"28	0.196	2.82	18"
"28	0.199	2.78	18"
"28	0.219	3.18	18"
"28	0.247	1.59	18"
"28	0.322	1.66	18"
"28	0.336	2.11	18"
"28	0.357	1.19	18"
"28	0.515	1.26	18"
"28	0.672	2.55	18"
"28	0.678	1.61	18"
"28	0.721	1.98	18"
"NA	0.090	0.85	NA"
"NA	0.710	0.95	NA"
"NA	3.600	1.23	NA"
"NA	0.080	0.80	NA"
"NA	0.470	1.32	NA"
"NA	1.890	0.93	NA"
"NA	3.770	0.91	NA"
"NA	0.100	0.79	NA"
"NA	0.370	1.18	NA"
"NA	1.410	0.72	NA"
"NA	2.660	0.7	NA"
