Temp	BodyWeight	Growth
20	12	0.21
20	14	0.04
20	8	0.15
20	4	0.09
20	6	0.21
20	10	0.22
20	10	0.34
20	12	0.21
20	14	0.04
20	14	0.05
20	14	0.25
20	20	0.08
20	22	0.11
20	4	0.08
20	6	0.24
20	8	0.18
20	8	0.36
20	6	0.24
16.5	15	0.26
20	35	0.34
23.5	15	0.48
23.5	35	0.28
26.5	35	0.47
16.5	5	0.3
20	15	0.7
20	35	0.2
20	35	0.21
20	35	0.37
23.5	5	0.56
26.5	15	0.69
26.5	5	0.6
20	15	0.36
20	5	0.51
20	5	0.51
20	5	0.6
20	8	0.18
20	10	0.22
20	12	0.21
20	14	0.25
20	20	0.08
20	22	0.11
20	4	0.08
20	4	0.09
20	6	0.21
20	5	0.62
20	15	0.47
20	15	0.7
16.5	35	0.08
20	15	0.71
20	35	0.38
20	5	0.51
21.5	1585.6	0.163
18	158.8	0.732
18	313.2	0.432
18	466.1	0.132
21.5	117.6	1.357
21.5	11843.5	2.144
21.5	1260	0.259
21.5	16265	2.134
21.5	1812.4	2.201
21.5	1913.1	0.103
21.5	2077.5	0.082
21.5	21268.7	2.126
21.5	2404.7	2.193
21.5	26831.7	2.119
21.5	302.2	1.03
21.5	32934.7	2.113
21.5	34868.4	2.111
21.5	4869.3	2.171
21.5	500.5	0.885
21.5	617	0.65
21.5	8032.6	2.156
21.5	936.9	0.41
11	4720	0.09
11	3244.7	0.14
11	8639.6	0.043
11	1961.2	0.208
11	286.8	0.454
11	4794.8	0.095
11	6596.8	0.064
11	964.7	0.307
11	10913.8	0.029
21.5	1099	0.647
21.5	2052.1	0.438
21.5	3195.9	0.296
21.5	4506.5	0.2
21.5	5967.3	0.135
21.5	7566.2	0.091
NA	4	0.430272
NA	4	0.03576
NA	4	0.10752
NA	6	0.10752
NA	6	0.07176
NA	8	0.07176
NA	8	0.21504
NA	8	0.08976
NA	12	0.20328
NA	14	0.12552
NA	16	0.03
NA	16	0.023904
NA	16	0.023904
